GEOID20,C_TOT15,C_NHS15,C_AIA15,C_ASN15,C_BLK15,C_NHP15,C_WHT15,C_AIW15,C_ASW15,C_BLW15,C_AIB15,C_2OM15,C_HSP15,CVAP_TOT15,CVAP_NHS15,CVAP_AIA15,CVAP_ASN15,CVAP_BLK15,CVAP_NHP15,CVAP_WHT15,CVAP_AIW15,CVAP_ASW15,CVAP_BLW15,CVAP_AIB15,CVAP_2OM15,CVAP_HSP15
150010201004011,10,10,0,0,0,0,6,0,0,0,0,3,0,7,7,0,0,0,0,4,0,0,0,0,3,0
150010201004012,4,4,0,0,0,0,2,0,0,0,0,0,0,4,4,0,0,0,0,2,0,0,0,0,0,0
150010201004013,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
150010201004014,22,19,0,8,0,0,3,0,3,0,0,11,3,20,17,0,7,0,0,3,0,1,0,0,11,3
150010201004015,7,7,0,0,0,0,6,0,0,0,0,1,0,8,7,0,0,0,0,6,0,0,0,0,1,0
150010201004016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201004017,184,164,0,66,0,1,44,0,16,0,0,63,18,144,130,0,46,0,1,41,0,6,0,0,51,13
150010201004018,46,41,0,9,0,0,11,0,3,0,0,25,6,33,29,0,6,0,0,8,0,2,0,0,19,4
150010201004019,43,33,0,20,0,0,6,0,6,0,0,9,12,32,27,0,13,0,0,6,0,3,0,0,9,6
150010201004020,13,10,0,1,0,0,2,0,0,0,0,7,4,8,7,0,1,0,0,2,0,0,0,0,5,1
150010201004021,5,5,0,1,0,0,1,0,0,0,0,4,0,5,5,0,1,0,0,1,0,0,0,0,5,0
150010201004022,13,11,0,1,0,0,3,0,2,0,0,10,2,10,8,0,1,0,0,3,0,1,0,0,8,2
150010201004023,47,33,0,13,0,1,3,0,1,0,0,15,16,37,26,0,11,0,1,3,0,1,0,0,11,13
150010201004024,142,117,0,66,0,1,14,0,13,0,0,34,27,107,92,0,48,0,1,14,0,2,0,0,24,15
150010201004025,48,42,0,17,0,0,13,0,3,0,0,9,6,41,38,0,13,0,0,14,0,2,0,0,11,2
150010201004026,4,2,0,1,0,0,1,0,1,0,0,1,2,4,3,0,1,0,0,1,0,1,0,0,1,2
150010201004027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201004028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201004029,95,81,0,33,0,2,16,0,1,0,0,20,14,83,71,0,28,0,2,17,0,1,0,0,16,12
150010201004030,28,26,0,19,0,0,3,0,1,0,0,5,1,23,22,0,14,0,0,3,0,0,0,0,5,0
150010201004031,216,171,0,105,0,1,14,0,15,0,0,60,50,165,134,0,78,0,1,14,0,8,0,0,41,34
150010201004032,3,3,0,0,0,0,2,0,0,0,0,2,0,3,3,0,0,0,0,2,0,0,0,0,3,0
150010201004033,5,5,0,0,0,0,5,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0
150010201004034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201004035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010201004036,23,21,0,2,0,0,12,0,0,0,0,5,2,20,17,0,2,0,0,10,0,0,0,0,5,2
150010201004037,9,9,0,5,0,0,2,0,2,0,0,2,0,8,7,0,4,0,0,2,0,0,0,0,0,0
150010202021000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010202021001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010202021002,40,38,0,5,0,0,20,7,1,0,0,23,2,38,35,0,4,0,0,19,7,1,0,0,27,3
150010202021003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010202021004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010202021005,5,5,0,1,0,0,2,0,0,0,0,1,0,5,5,0,1,0,0,2,0,0,0,0,2,0
150010202021006,29,27,0,1,0,0,16,0,2,0,0,21,2,25,22,0,1,0,0,14,0,1,0,0,19,2
150010202021007,27,22,0,5,0,0,8,0,0,0,0,10,5,21,19,0,4,0,0,8,0,0,0,0,9,3
150010202021008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150010202021009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
